name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.stages.2.op_list.2.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",0,0,,
backbone.stages.2.op_list.2.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",5120,5120,903168,"in=512, out=512, k=(3, 3), stride=(1, 1), groups=512, bias=True"
backbone.stages.2.op_list.2.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",0,0,,
backbone.stages.2.op_list.2.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 14, 14]]","[1, 128, 14, 14]",65536,65536,12845056,"in=512, out=128, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.2.op_list.2.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",256,256,,
backbone.stages.2.op_list.2.local_module.main,MBConv,MBConv block,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.2.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.2.local_module,ResidualBlock,Residual block,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.3.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 14, 14]]","[1, 384, 14, 14]",49152,49152,9633792,"in=128, out=384, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.2.op_list.3.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,"[[1, 384, 14, 14]]","[1, 384, 14, 14]",9600,9600,1881600,"in=384, out=384, k=(5, 5), stride=(1, 1), groups=384, bias=False"
backbone.stages.2.op_list.3.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,"[[1, 384, 14, 14]]","[1, 384, 14, 14]",6144,6144,1204224,"in=384, out=384, k=(1, 1), stride=(1, 1), groups=24, bias=False"
backbone.stages.2.op_list.3.context_module.main.kernel_func,ReLU,Activation,"[[1, 16, 16, 196]]","[1, 16, 16, 196]",0,0,,
backbone.stages.2.op_list.3.context_module.main.kernel_func,ReLU,Activation,"[[1, 16, 16, 196]]","[1, 16, 16, 196]",0,0,,
backbone.stages.2.op_list.3.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 14, 14]]","[1, 128, 14, 14]",32768,32768,6422528,"in=256, out=128, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.2.op_list.3.context_module.main.proj.norm,BatchNorm2d,Normalization,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",256,256,,
backbone.stages.2.op_list.3.context_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.3.context_module,ResidualBlock,Residual block,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.3.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 14, 14]]","[1, 512, 14, 14]",66048,66048,12845056,"in=128, out=512, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.2.op_list.3.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",0,0,,
backbone.stages.2.op_list.3.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",5120,5120,903168,"in=512, out=512, k=(3, 3), stride=(1, 1), groups=512, bias=True"
backbone.stages.2.op_list.3.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",0,0,,
